날짜,KRX_OF
2022-12-19,698.9987356506265
2022-12-20,702.795065856349
2022-12-21,701.8599628314432
2022-12-22,720.1945314873678
2022-12-23,714.1955350213804
2022-12-26,710.3014246313453
2022-12-27,713.5190112806077
2022-12-28,694.3842463539929
2022-12-29,686.4245772750795
2023-01-02,670.098855573572
2023-01-03,657.4785013001093
2023-01-04,670.6335518820413
2023-01-05,667.3239429307521
2023-01-06,664.089454193688
2023-01-09,675.7491442861457
2023-01-10,685.4618934926808
2023-01-11,681.4919473962926
2023-01-12,703.909248132221
2023-01-13,715.2882183891502
2023-01-16,719.4335013546445
2023-01-17,724.9986140049417
2023-01-18,731.5490281105143
2023-01-19,737.6992434039203
2023-01-20,730.9069838364535
2023-01-25,735.574096944113
2023-01-26,736.6768017552586
2023-01-27,731.4026677044243
2023-01-30,722.3204620018362
2023-01-31,713.3178121455222
2023-02-01,725.7702378022757
2023-02-02,719.0193558580363
2023-02-03,716.8390027327468
2023-02-06,707.2350398615988
2023-02-07,708.4940367617316
2023-02-08,717.0999627465349
2023-02-09,720.6781520351117
2023-02-10,720.4241420071759
2023-02-13,719.1156538763889
2023-02-14,724.5885332003633
2023-02-15,709.5592382126998
2023-02-16,717.2989662993311
2023-02-17,714.0723191802967
2023-02-20,723.2464659013142
2023-02-21,823.0025782872957
2023-02-22,794.2524131388658
2023-02-23,809.408764304387
2023-02-24,832.2773816258634
2023-02-27,827.5786882929665
2023-02-28,838.3677852092826
2023-03-02,826.6626337783355
2023-03-03,821.0883219658032
2023-03-06,823.504205520571
2023-03-07,834.6171423659599
2023-03-08,824.3886705825519
2023-03-09,830.0393888087174
2023-03-10,822.0417946351232
2023-03-13,814.3203358652154
2023-03-14,773.2270550156348
2023-03-15,779.5349931242154
2023-03-16,786.6964075017565
2023-03-17,796.6565507894165
2023-03-20,800.1971417706534
2023-03-21,802.2623042484045
2023-03-22,796.021924469111
2023-03-23,792.646177323836
2023-03-24,784.7839823872237
2023-03-27,771.6902183807838
2023-03-28,779.7658804908522
2023-03-29,781.509067769373
2023-03-30,798.1141405136066
2023-03-31,791.4551457529798
2023-04-03,800.0936345578865
2023-04-04,806.348294677193
2023-04-05,816.5879853449433
2023-04-06,819.1585418964385
2023-04-07,830.136948697958
2023-04-10,821.0841237771357
2023-04-11,834.291297335847
2023-04-12,851.4917329335728
2023-04-13,846.7966389835407
2023-04-14,842.2362572195699
2023-04-17,834.9842799417917
2023-04-18,828.4950242203608
2023-04-19,830.9025008680846
2023-04-20,832.8806559544801
2023-04-21,834.1973547390944
2023-04-24,847.1623212808181
2023-04-25,920.6341208281975
2023-04-26,914.6429384728602
2023-04-27,908.9422932049686
2023-04-28,941.6058550451659
2023-05-02,927.8624001704521
2023-05-03,935.6192127484273
2023-05-04,935.3609612937535
2023-05-08,937.7618192956124
2023-05-09,932.5664147204288
2023-05-10,919.5422183181809
2023-05-11,938.2591897312541
2023-05-12,943.5945892805825
2023-05-15,931.9629532103703
2023-05-16,942.0721008528288
2023-05-17,939.2560728570057
2023-05-18,936.1102997637511
2023-05-19,958.7203744932266
2023-05-22,950.2662590188611
2023-05-23,951.2009664812967
2023-05-24,949.9965363835803
2023-05-25,948.7490885491646
2023-05-26,956.0313023035042
2023-05-30,960.6432932768163
2023-05-31,958.3607584203606
2023-06-01,948.1046208485953
2023-06-02,971.6597464279273
2023-06-05,967.0864997483822
2023-06-07,972.1252925343929
2023-06-08,969.660209305161
2023-06-09,958.1323072390339
2023-06-12,947.4652944672421
2023-06-13,953.3100510923518
2023-06-14,945.131549362637
2023-06-15,946.398969055674
2023-06-16,957.6411448691243
2023-06-19,946.2114313242864
2023-06-20,946.9693529234155
2023-06-21,946.3077859508126
2023-06-22,944.1621976836121
2023-06-23,923.9467241300902
2023-06-26,921.0582820766114
